user,employee_name,department,role,login_time,logout_time,session_duration_hrs,source_ip,location,auth_method,success,is_weekend
EMP-1022,Stephanie Sanders,Finance,Finance Manager,2024-01-01 08:22:53.871454,2024-01-01 15:22:27.442056,6.99,10.49.138.115,HQ-NewYork,password,1,0
EMP-1023,Nancy Scott,Human Resources,Benefits Coordinator,2024-01-01 07:55:16.739381,2024-01-01 13:05:07.591946,5.16,10.207.221.220,Office-SanFrancisco,SSO,1,0
EMP-1024,Katherine Cooper,Sales,Sales Rep,2024-01-01 08:20:43.581837,2024-01-01 19:01:25.293915,10.68,10.105.125.124,HQ-NewYork,MFA,1,0
EMP-1025,Linda Perez,Legal,Legal Manager,2024-01-01 10:20:59.107343,2024-01-01 16:11:45.115181,5.85,10.238.201.201,HQ-NewYork,MFA,1,0
EMP-1026,Jason Hughes,IT Security,Incident Responder,2024-01-01 07:54:31.762032,2024-01-01 14:40:31.114724,6.77,10.49.76.56,Remote,certificate,1,0
EMP-1027,Catherine Green,Executive,CEO,2024-01-01 08:47:28.754803,2024-01-01 17:23:20.555413,8.6,10.236.219.136,HQ-NewYork,SSO,1,0
EMP-1028,Angela Hernandez,Research & Development,Data Scientist,2024-01-01 07:32:40.733885,2024-01-01 16:03:11.317049,8.51,10.221.61.104,HQ-NewYork,SSO,1,0
EMP-1029,Justin Kim,Marketing,Marketing Analyst,2024-01-01 10:04:22.416290,2024-01-01 16:36:40.600800,6.54,10.169.150.145,Office-Berlin,certificate,1,0
EMP-1030,Anthony Bennett,Operations,Operations Manager,2024-01-01 09:34:01.718033,2024-01-01 20:28:41.791971,10.91,10.34.172.166,Office-SanFrancisco,password,1,0
EMP-1031,Kenneth Long,Engineering,Software Engineer,2024-01-01 08:58:44.022706,2024-01-01 18:07:25.852120,9.14,10.145.26.19,HQ-NewYork,certificate,1,0
EMP-1032,Thomas Hall,Finance,Financial Analyst,2024-01-01 09:59:37.678979,2024-01-01 16:38:44.567928,6.65,10.41.113.214,Office-SanFrancisco,certificate,0,0
EMP-1033,Christine Peterson,Human Resources,HR Manager,2024-01-01 07:10:49.535052,2024-01-01 14:48:14.797592,7.62,10.68.30.228,Remote,SSO,1,0
EMP-1034,Paul Torres,Sales,Business Development,2024-01-01 09:37:18.070261,2024-01-01 14:25:22.072995,4.8,10.176.163.219,Office-SanFrancisco,MFA,1,0
EMP-1035,Steven Miller,Legal,Legal Counsel,2024-01-01 07:27:29.211922,2024-01-01 13:00:23.360207,5.55,10.12.1.86,Remote,MFA,1,0
EMP-1036,Charles Patel,IT Security,CISO,2024-01-01 08:21:53.905147,2024-01-01 15:06:18.273727,6.74,10.3.29.20,Office-Berlin,SSO,1,0
EMP-1037,Melissa Howard,Executive,VP Sales,2024-01-01 07:08:47.502865,2024-01-01 15:27:08.383490,8.31,10.11.79.94,Office-SanFrancisco,SSO,1,0
EMP-1038,Anthony Mendoza,Research & Development,Data Scientist,2024-01-01 10:50:21.648565,2024-01-01 19:34:15.045895,8.73,10.200.144.227,Remote,MFA,1,0
EMP-1039,Donald Lee,Marketing,Content Strategist,2024-01-01 09:53:29.816254,2024-01-01 20:32:47.804985,10.65,10.189.237.86,Office-Bangalore,certificate,1,0
EMP-1040,Paul Lee,Operations,Operations Analyst,2024-01-01 10:31:51.084896,2024-01-01 15:26:31.988851,4.91,10.57.52.210,Office-Bangalore,password,1,0
EMP-1041,Michelle Robinson,Engineering,Sr. Software Engineer,2024-01-01 06:23:57.692642,2024-01-01 12:02:31.164528,5.64,10.85.72.222,HQ-NewYork,password,1,0
EMP-1042,Brian Chavez,Finance,Accounts Payable,2024-01-01 09:21:38.684220,2024-01-01 18:57:12.406822,9.59,10.241.8.30,Office-Bangalore,SSO,1,0
EMP-1043,Justin King,Human Resources,HR Specialist,2024-01-01 10:26:12.405233,2024-01-01 16:42:26.194614,6.27,10.187.202.81,HQ-NewYork,SSO,1,0
EMP-1044,Deborah Kelly,Sales,Account Executive,2024-01-01 08:41:14.658163,2024-01-01 20:34:29.124651,11.89,10.112.1.134,Office-London,certificate,1,0
EMP-1045,Sharon Rodriguez,Legal,Compliance Officer,2024-01-01 09:11:06.430126,2024-01-01 19:16:02.482012,10.08,10.218.32.185,Office-Berlin,password,1,0
EMP-1046,Christine Evans,IT Security,Security Engineer,2024-01-01 10:36:37.725718,2024-01-01 19:23:17.074313,8.78,10.33.50.108,Office-Bangalore,MFA,1,0
EMP-1047,Brandon Reed,Executive,COO,2024-01-01 10:14:56.627459,2024-01-01 17:13:53.918813,6.98,10.78.74.54,Office-Bangalore,MFA,1,0
EMP-1048,Cynthia Cruz,Research & Development,Lab Technician,2024-01-01 08:38:40.893615,2024-01-01 19:13:20.891637,10.58,10.122.204.231,Remote,SSO,1,0
EMP-1049,Andrew Rogers,Marketing,Brand Manager,2024-01-01 08:25:43.686798,2024-01-01 17:03:12.024807,8.62,10.173.80.58,Office-London,MFA,1,0
EMP-1050,Patricia Garcia,Operations,Project Manager,2024-01-01 08:32:39.384684,2024-01-01 15:57:03.160725,7.41,10.107.227.162,Office-Bangalore,MFA,1,0
EMP-1051,Amy Phillips,Engineering,Sr. Software Engineer,2024-01-01 08:31:26.680960,2024-01-01 16:38:26.498060,8.12,10.200.109.57,Office-SanFrancisco,certificate,1,0
EMP-1052,Michael Bailey,Finance,Sr. Accountant,2024-01-01 09:48:04.250912,2024-01-01 16:05:45.073198,6.29,10.206.119.171,HQ-NewYork,SSO,1,0
EMP-1053,Brandon Castillo,Human Resources,HR Director,2024-01-01 11:06:30.076437,2024-01-01 20:13:55.944171,9.12,10.230.41.191,Office-Bangalore,password,1,0
EMP-1054,Kimberly Long,Sales,Account Executive,2024-01-01 09:55:57.896240,2024-01-01 16:44:21.763838,6.81,10.125.161.62,Remote,certificate,1,0
EMP-1055,Elizabeth Alvarez,Legal,Compliance Officer,2024-01-01 09:40:36.302472,2024-01-01 18:44:00.761388,9.06,10.82.229.139,Office-SanFrancisco,certificate,1,0
EMP-1056,Karen Robinson,IT Security,CISO,2024-01-01 11:04:52.590527,2024-01-01 20:34:02.146028,9.49,10.55.17.107,Remote,password,1,0
EMP-1057,Anna Reyes,Executive,VP Engineering,2024-01-01 07:00:33.490408,2024-01-01 15:46:24.773629,8.76,10.100.232.198,HQ-NewYork,SSO,1,0
EMP-1058,Kathleen Smith,Research & Development,R&D Engineer,2024-01-01 07:43:18.189923,2024-01-01 14:30:43.255471,6.79,10.138.192.189,Office-London,SSO,1,0
EMP-1059,Mark Wright,Marketing,SEO Specialist,2024-01-01 10:33:11.299502,2024-01-01 18:07:53.372346,7.58,10.87.172.174,Office-Bangalore,password,1,0
EMP-1060,Cynthia Taylor,Operations,Logistics Coordinator,2024-01-01 07:16:03.251273,2024-01-01 13:10:53.635810,5.91,10.152.145.170,Office-Berlin,MFA,1,0
EMP-1061,Samuel Diaz,Engineering,Sr. Software Engineer,2024-01-01 09:15:39.134753,2024-01-01 16:15:30.224131,7.0,10.67.98.84,Office-Bangalore,certificate,1,0
EMP-1062,Carol Baker,Finance,Controller,2024-01-01 07:16:40.922765,2024-01-01 13:59:24.163348,6.71,10.214.21.121,Office-London,SSO,1,0
EMP-1063,Brian Lewis,Human Resources,HR Specialist,2024-01-01 07:43:00.764524,2024-01-01 18:29:51.040035,10.78,10.244.64.52,Remote,password,1,0
EMP-1064,Donald Taylor,Sales,Sales Director,2024-01-01 09:58:15.957620,2024-01-01 18:20:41.378000,8.37,10.243.56.120,Remote,SSO,1,0
EMP-1065,Lisa Cox,Legal,Contract Specialist,2024-01-01 06:57:36.423594,2024-01-01 14:16:07.523976,7.31,10.247.80.28,Remote,SSO,1,0
EMP-1066,Pamela Gray,IT Security,CISO,2024-01-01 07:56:18.981027,2024-01-01 17:33:36.789779,9.62,10.152.177.213,Office-Bangalore,certificate,1,0
EMP-1067,Rachel Foster,Executive,COO,2024-01-01 10:23:44.429196,2024-01-01 14:31:04.428660,4.12,10.201.11.89,Remote,SSO,1,0
EMP-1068,David Cook,Research & Development,R&D Engineer,2024-01-01 09:23:41.261758,2024-01-01 16:54:24.892630,7.51,10.28.111.246,HQ-NewYork,certificate,1,0
EMP-1069,Alexander Martin,Marketing,SEO Specialist,2024-01-01 11:08:04.494442,2024-01-01 20:57:24.966579,9.82,10.70.158.207,Office-SanFrancisco,password,1,0
EMP-1070,Sharon Sanders,Operations,Logistics Coordinator,2024-01-01 09:05:21.538533,2024-01-01 15:52:02.632817,6.78,10.213.240.23,Office-London,password,1,0
EMP-1071,Ashley Long,Engineering,DevOps Engineer,2024-01-01 08:35:45.082403,2024-01-01 14:39:54.878925,6.07,10.8.127.218,Office-Berlin,MFA,1,0
EMP-1072,Gary Ramirez,Finance,Finance Manager,2024-01-01 09:27:16.327926,2024-01-01 14:04:50.065619,4.63,10.226.153.180,Office-London,password,1,0
EMP-1073,Eric Harris,Human Resources,HR Specialist,2024-01-01 10:31:17.438140,2024-01-01 20:14:28.693478,9.72,10.143.195.62,Office-SanFrancisco,MFA,1,0
EMP-1074,Laura Williams,Sales,Sales Rep,2024-01-01 09:45:57.367280,2024-01-01 17:38:59.928661,7.88,10.178.63.79,Office-London,MFA,1,0
EMP-1075,Stephen Ortiz,Legal,Compliance Officer,2024-01-01 09:02:10.871302,2024-01-01 17:17:18.411667,8.25,10.91.180.117,Office-Bangalore,SSO,1,0
EMP-1076,Steven Robinson,IT Security,Security Analyst,2024-01-01 07:51:28.884349,2024-01-01 15:35:51.264660,7.74,10.31.191.138,Remote,MFA,1,0
EMP-1077,Margaret Patel,Executive,VP Engineering,2024-01-01 07:43:50.619501,2024-01-01 14:12:56.802270,6.49,10.73.252.26,Office-London,certificate,1,0
EMP-1078,Sandra Campbell,Research & Development,Data Scientist,2024-01-01 06:44:43.426386,2024-01-01 14:53:28.245718,8.15,10.137.33.71,Office-London,MFA,1,0
EMP-1079,Stephen Nguyen,Marketing,Content Strategist,2024-01-01 09:42:00.761764,2024-01-01 18:44:34.664956,9.04,10.224.4.147,Remote,certificate,1,0
EMP-1080,Kathleen Cruz,Operations,Operations Manager,2024-01-01 07:30:24.028532,2024-01-01 16:29:41.816127,8.99,10.241.221.123,Office-SanFrancisco,password,0,0
EMP-1081,Stephanie Morales,Engineering,Software Engineer,2024-01-01 09:01:26.315752,2024-01-01 18:00:13.865597,8.98,10.39.208.145,Office-Berlin,SSO,1,0
EMP-1082,Ashley Thomas,Finance,Accounts Payable,2024-01-01 10:52:39.249574,2024-01-01 20:04:54.749507,9.2,10.98.116.233,Office-Bangalore,MFA,1,0
EMP-1083,Emma Diaz,Human Resources,HR Manager,2024-01-01 08:13:45.425031,2024-01-01 16:00:31.506180,7.78,10.246.190.26,Office-Berlin,SSO,1,0
EMP-1084,Kimberly James,Sales,Sales Rep,2024-01-01 07:06:41.844283,2024-01-01 14:46:29.799952,7.66,10.142.20.41,Office-SanFrancisco,certificate,1,0
EMP-1085,Laura Ruiz,Legal,Contract Specialist,2024-01-01 10:01:26.469877,2024-01-01 16:31:37.989309,6.5,10.60.74.181,Office-Bangalore,certificate,1,0
EMP-1086,Elizabeth Mendoza,IT Security,SOC Analyst,2024-01-01 07:48:05.982840,2024-01-01 16:10:06.709695,8.37,10.30.140.58,Office-London,SSO,1,0
EMP-1087,Christopher Martinez,Executive,CEO,2024-01-01 10:15:31.227140,2024-01-01 17:43:13.243356,7.46,10.192.212.146,Office-SanFrancisco,SSO,1,0
EMP-1088,Jessica Reyes,Research & Development,R&D Engineer,2024-01-01 10:49:31.908339,2024-01-01 17:53:49.466986,7.07,10.129.139.127,Remote,certificate,1,0
EMP-1089,Scott Garcia,Marketing,SEO Specialist,2024-01-01 08:00:29.528447,2024-01-01 16:47:44.506892,8.79,10.65.7.24,Remote,MFA,1,0
EMP-1090,Maria Gray,Operations,Operations Manager,2024-01-01 10:24:38.535622,2024-01-01 19:58:17.755816,9.56,10.121.133.167,Office-Berlin,MFA,1,0
EMP-1091,Nancy Howard,Engineering,DevOps Engineer,2024-01-01 09:23:43.448081,2024-01-01 19:21:26.899100,9.96,10.121.90.105,Remote,MFA,1,0
EMP-1092,Christine Wilson,Finance,Sr. Accountant,2024-01-01 10:50:02.781836,2024-01-01 19:37:31.195860,8.79,10.127.74.170,Office-London,MFA,1,0
EMP-1093,Ryan Lopez,Human Resources,HR Manager,2024-01-01 07:38:31.176596,2024-01-01 14:51:56.133056,7.22,10.249.198.104,Office-London,certificate,1,0
EMP-1094,Edward Miller,Sales,Account Executive,2024-01-01 10:06:38.230442,2024-01-01 17:20:27.354291,7.23,10.194.128.161,Office-Berlin,SSO,1,0
EMP-1095,Anthony Wright,Legal,Contract Specialist,2024-01-01 06:52:02.058193,2024-01-01 14:15:07.364977,7.38,10.226.179.125,Office-SanFrancisco,certificate,1,0
EMP-1096,Benjamin Cox,IT Security,SOC Analyst,2024-01-01 09:55:09.986633,2024-01-01 19:03:21.477699,9.14,10.142.4.142,Remote,SSO,1,0
EMP-1097,Mark Anderson,Executive,VP Engineering,2024-01-01 08:50:48.630952,2024-01-01 18:22:29.089186,9.53,10.239.184.75,HQ-NewYork,SSO,1,0
EMP-1098,Kathleen Stewart,Research & Development,Data Scientist,2024-01-01 09:47:07.217863,2024-01-01 19:10:30.852013,9.39,10.99.49.236,Office-Bangalore,password,1,0
EMP-1099,Emily Foster,Marketing,SEO Specialist,2024-01-01 09:01:35.611177,2024-01-01 16:57:08.400360,7.93,10.211.1.73,Office-London,password,1,0
EMP-1100,Karen Edwards,Operations,Logistics Coordinator,2024-01-01 10:35:59.743834,2024-01-01 16:34:22.988993,5.97,10.142.196.140,Office-Bangalore,certificate,1,0
EMP-1001,Mark Edwards,Engineering,QA Engineer,2024-01-02 10:22:40.718807,2024-01-02 17:56:49.344895,7.57,10.179.109.88,Office-London,SSO,1,0
EMP-1002,Margaret Ross,Finance,Finance Manager,2024-01-02 09:39:18.760124,2024-01-02 18:44:52.640061,9.09,10.25.92.217,HQ-NewYork,MFA,1,0
EMP-1003,Jennifer Sanders,Human Resources,Benefits Coordinator,2024-01-02 10:15:29.945939,2024-01-02 18:09:17.455021,7.9,10.21.142.76,Office-Berlin,MFA,1,0
EMP-1004,Alexander Rodriguez,Sales,Sales Rep,2024-01-02 09:14:50.350421,2024-01-02 16:30:54.328543,7.27,10.253.21.219,Remote,SSO,1,0
EMP-1005,Timothy Scott,Legal,Legal Manager,2024-01-02 10:01:04.999060,2024-01-02 18:42:08.435536,8.68,10.95.91.54,Remote,password,1,0
EMP-1006,Nicole Brooks,IT Security,SOC Analyst,2024-01-02 07:48:17.208782,2024-01-02 15:16:35.649725,7.47,10.119.98.70,Office-Berlin,MFA,1,0
EMP-1007,Dennis Jimenez,Executive,CEO,2024-01-02 08:07:37.292735,2024-01-02 15:42:55.887600,7.59,10.103.69.17,Office-SanFrancisco,SSO,1,0
EMP-1008,Margaret Wood,Research & Development,Lab Technician,2024-01-02 09:28:28.871907,2024-01-02 16:03:22.094741,6.58,10.68.36.64,Office-Bangalore,password,1,0
EMP-1009,Justin Phillips,Marketing,Marketing Manager,2024-01-02 07:14:01.956138,2024-01-02 17:05:33.369117,9.86,10.127.24.194,Office-SanFrancisco,MFA,1,0
EMP-1010,Karen Watson,Operations,Project Manager,2024-01-02 11:06:23.916870,2024-01-02 16:56:42.638883,5.84,10.17.99.98,Remote,password,1,0
EMP-1011,Stephen Johnson,Engineering,Software Engineer,2024-01-02 06:57:47.763670,2024-01-02 15:37:16.847675,8.66,10.197.165.88,Remote,SSO,1,0
EMP-1012,Sharon Lee,Finance,Controller,2024-01-02 07:47:15.419860,2024-01-02 19:20:21.736377,11.55,10.196.46.130,HQ-NewYork,MFA,1,0
EMP-1013,Samantha Cook,Human Resources,HR Director,2024-01-02 08:01:48.267589,2024-01-02 16:29:14.448602,8.46,10.196.42.139,Office-SanFrancisco,password,1,0
EMP-1014,Gary Williams,Sales,Sales Rep,2024-01-02 06:45:22.803778,2024-01-02 14:08:55.149161,7.39,10.15.62.225,Office-London,password,1,0
EMP-1015,Janet Morales,Legal,Legal Counsel,2024-01-02 09:07:41.236654,2024-01-02 15:40:10.243810,6.54,10.169.122.243,Office-Berlin,certificate,1,0
EMP-1016,Shirley Cox,IT Security,CISO,2024-01-02 09:58:24.254054,2024-01-02 20:03:50.330314,10.09,10.177.52.183,Office-SanFrancisco,MFA,1,0
EMP-1017,Christine Wood,Executive,COO,2024-01-02 08:13:29.205032,2024-01-02 16:36:42.644914,8.39,10.31.64.58,Office-Bangalore,MFA,1,0
EMP-1018,Robert Ramos,Research & Development,R&D Manager,2024-01-02 07:11:29.817432,2024-01-02 13:35:12.561040,6.4,10.19.182.162,Office-SanFrancisco,certificate,1,0
EMP-1019,David Jones,Marketing,Marketing Manager,2024-01-02 08:55:17.767897,2024-01-02 20:48:23.701554,11.88,10.72.172.125,HQ-NewYork,certificate,1,0
EMP-1020,Patrick Kelly,Operations,Logistics Coordinator,2024-01-02 07:51:34.056655,2024-01-02 17:58:48.968786,10.12,10.207.105.49,Office-Bangalore,certificate,1,0
EMP-1021,Raymond Parker,Engineering,Engineering Manager,2024-01-02 07:27:09.877744,2024-01-02 16:53:41.426037,9.44,10.222.187.14,Office-Bangalore,certificate,1,0
EMP-1022,Stephanie Sanders,Finance,Finance Manager,2024-01-02 08:30:00.268272,2024-01-02 14:02:17.830975,5.54,10.49.138.115,HQ-NewYork,SSO,1,0
EMP-1023,Nancy Scott,Human Resources,Benefits Coordinator,2024-01-02 07:30:18.960506,2024-01-02 15:40:51.755936,8.18,10.207.221.220,Office-SanFrancisco,password,1,0
EMP-1024,Katherine Cooper,Sales,Sales Rep,2024-01-02 07:49:35.714405,2024-01-02 15:44:57.608194,7.92,10.105.125.124,HQ-NewYork,MFA,1,0
EMP-1025,Linda Perez,Legal,Legal Manager,2024-01-02 10:41:01.690385,2024-01-02 18:12:32.746454,7.53,10.238.201.201,HQ-NewYork,password,1,0
EMP-1026,Jason Hughes,IT Security,Incident Responder,2024-01-02 07:27:44.615468,2024-01-02 17:04:48.424041,9.62,10.49.76.56,Remote,password,1,0
EMP-1027,Catherine Green,Executive,CEO,2024-01-02 08:00:53.784896,2024-01-02 16:53:39.137261,8.88,10.236.219.136,HQ-NewYork,password,1,0
EMP-1028,Angela Hernandez,Research & Development,Data Scientist,2024-01-02 09:01:15.318979,2024-01-02 17:37:54.295032,8.61,10.221.61.104,HQ-NewYork,SSO,1,0
EMP-1029,Justin Kim,Marketing,Marketing Analyst,2024-01-02 10:09:00.592427,2024-01-02 19:05:18.998449,8.94,10.169.150.145,Office-Berlin,certificate,1,0
EMP-1030,Anthony Bennett,Operations,Operations Manager,2024-01-02 09:58:10.546487,2024-01-02 19:45:55.782247,9.8,10.34.172.166,Office-SanFrancisco,password,1,0
EMP-1031,Kenneth Long,Engineering,Software Engineer,2024-01-02 08:29:45.670659,2024-01-02 16:37:14.021134,8.12,10.145.26.19,HQ-NewYork,certificate,1,0
EMP-1032,Thomas Hall,Finance,Financial Analyst,2024-01-02 08:56:58.681628,2024-01-02 18:10:59.662819,9.23,10.41.113.214,Office-SanFrancisco,MFA,1,0
EMP-1033,Christine Peterson,Human Resources,HR Manager,2024-01-02 07:16:01.840324,2024-01-02 13:40:18.778599,6.4,10.68.30.228,Remote,certificate,1,0
EMP-1034,Paul Torres,Sales,Business Development,2024-01-02 09:50:55.020333,2024-01-02 18:02:05.027004,8.19,10.176.163.219,Office-SanFrancisco,MFA,1,0
EMP-1035,Steven Miller,Legal,Legal Counsel,2024-01-02 09:03:59.087741,2024-01-02 17:04:48.600659,8.01,10.12.1.86,Remote,certificate,1,0
EMP-1036,Charles Patel,IT Security,CISO,2024-01-02 08:05:02.689858,2024-01-02 14:29:36.903799,6.41,10.3.29.20,Office-Berlin,password,1,0
EMP-1037,Melissa Howard,Executive,VP Sales,2024-01-02 06:41:17.755483,2024-01-02 13:58:03.187906,7.28,10.11.79.94,Office-SanFrancisco,password,1,0
EMP-1038,Anthony Mendoza,Research & Development,Data Scientist,2024-01-02 09:41:07.004097,2024-01-02 18:04:58.512653,8.4,10.200.144.227,Remote,SSO,1,0
EMP-1039,Donald Lee,Marketing,Content Strategist,2024-01-02 10:08:00.392677,2024-01-02 18:34:19.902460,8.44,10.189.237.86,Office-Bangalore,password,1,0
EMP-1040,Paul Lee,Operations,Operations Analyst,2024-01-02 09:59:29.580096,2024-01-02 16:38:55.134817,6.66,10.57.52.210,Office-Bangalore,SSO,1,0
EMP-1041,Michelle Robinson,Engineering,Sr. Software Engineer,2024-01-02 07:56:13.917442,2024-01-02 15:04:46.706650,7.14,10.85.72.222,HQ-NewYork,certificate,1,0
EMP-1042,Brian Chavez,Finance,Accounts Payable,2024-01-02 08:49:08.450162,2024-01-02 16:56:49.161117,8.13,10.241.8.30,Office-Bangalore,password,1,0
EMP-1043,Justin King,Human Resources,HR Specialist,2024-01-02 10:19:43.465443,2024-01-02 18:11:09.083027,7.86,10.187.202.81,HQ-NewYork,password,1,0
EMP-1044,Deborah Kelly,Sales,Account Executive,2024-01-02 08:38:40.981226,2024-01-02 15:47:08.590447,7.14,10.112.1.134,Office-London,certificate,1,0
EMP-1045,Sharon Rodriguez,Legal,Compliance Officer,2024-01-02 09:25:54.162808,2024-01-02 17:07:31.770208,7.69,10.218.32.185,Office-Berlin,MFA,1,0
EMP-1046,Christine Evans,IT Security,Security Engineer,2024-01-02 10:47:04.924783,2024-01-02 18:25:37.197934,7.64,10.33.50.108,Office-Bangalore,SSO,1,0
EMP-1047,Brandon Reed,Executive,COO,2024-01-02 10:34:48.587862,2024-01-02 17:02:56.740348,6.47,10.78.74.54,Office-Bangalore,certificate,1,0
EMP-1048,Cynthia Cruz,Research & Development,Lab Technician,2024-01-02 07:29:44.427711,2024-01-02 18:08:25.082306,10.64,10.122.204.231,Remote,certificate,1,0
EMP-1049,Andrew Rogers,Marketing,Brand Manager,2024-01-02 08:11:55.122325,2024-01-02 15:04:07.986544,6.87,10.173.80.58,Office-London,certificate,1,0
EMP-1050,Patricia Garcia,Operations,Project Manager,2024-01-02 07:49:23.544206,2024-01-02 14:08:58.608107,6.33,10.107.227.162,Office-Bangalore,SSO,1,0
EMP-1051,Amy Phillips,Engineering,Sr. Software Engineer,2024-01-02 08:57:39.299604,2024-01-02 18:01:28.360928,9.06,10.200.109.57,Office-SanFrancisco,certificate,1,0
EMP-1052,Michael Bailey,Finance,Sr. Accountant,2024-01-02 08:40:57.487523,2024-01-02 17:42:36.602635,9.03,10.206.119.171,HQ-NewYork,certificate,1,0
EMP-1053,Brandon Castillo,Human Resources,HR Director,2024-01-02 10:46:09.231950,2024-01-02 17:44:59.526860,6.98,10.230.41.191,Office-Bangalore,SSO,1,0
EMP-1054,Kimberly Long,Sales,Account Executive,2024-01-02 09:44:39.417153,2024-01-02 17:14:46.049771,7.5,10.125.161.62,Remote,certificate,1,0
EMP-1055,Elizabeth Alvarez,Legal,Compliance Officer,2024-01-02 07:15:16.764507,2024-01-02 13:06:27.723124,5.85,10.82.229.139,Office-SanFrancisco,MFA,1,0
EMP-1056,Karen Robinson,IT Security,CISO,2024-01-02 09:53:56.068372,2024-01-02 16:26:59.263618,6.55,10.55.17.107,Remote,password,1,0
EMP-1057,Anna Reyes,Executive,VP Engineering,2024-01-02 07:18:35.165972,2024-01-02 14:11:05.639784,6.88,10.100.232.198,HQ-NewYork,password,1,0
EMP-1058,Kathleen Smith,Research & Development,R&D Engineer,2024-01-02 07:51:27.965942,2024-01-02 12:33:27.872090,4.7,10.138.192.189,Office-London,certificate,1,0
EMP-1059,Mark Wright,Marketing,SEO Specialist,2024-01-02 09:52:03.920618,2024-01-02 17:02:33.747656,7.17,10.87.172.174,Office-Bangalore,SSO,1,0
EMP-1060,Cynthia Taylor,Operations,Logistics Coordinator,2024-01-02 07:47:02.155407,2024-01-02 16:31:12.179992,8.74,10.152.145.170,Office-Berlin,MFA,1,0
