user,employee_name,department,device,plug_time,unplug_time,duration_min,bytes_copied,source_ip
EMP-1032,Thomas Hall,Finance,USB-4657,2024-01-04 10:04:00,2024-01-04 11:07:00,63,389348734,10.41.113.214
EMP-1029,Justin Kim,Marketing,USB-2535,2024-01-04 12:10:00,2024-01-04 12:28:00,18,0,10.169.150.145
EMP-1096,Benjamin Cox,IT Security,USB-2824,2024-01-04 12:17:00,2024-01-04 12:49:00,32,0,10.142.4.142
EMP-1088,Jessica Reyes,Research & Development,USB-4582,2024-01-04 17:15:00,2024-01-04 18:26:00,71,196416618,10.129.139.127
EMP-1005,Timothy Scott,Legal,USB-1409,2024-01-04 09:43:00,2024-01-04 12:18:00,155,0,10.95.91.54
EMP-1041,Michelle Robinson,Engineering,USB-1434,2024-01-04 14:56:00,2024-01-04 15:53:00,57,474657136,10.85.72.222
EMP-1087,Christopher Martinez,Executive,USB-9935,2024-01-04 08:42:00,2024-01-04 10:53:00,131,367079075,10.192.212.146
EMP-1078,Sandra Campbell,Research & Development,USB-5506,2024-01-04 13:15:00,2024-01-04 13:37:00,22,244744031,10.137.33.71
EMP-1060,Cynthia Taylor,Operations,USB-1434,2024-01-04 14:48:00,2024-01-04 17:23:00,155,263328520,10.152.145.170
EMP-1041,Michelle Robinson,Engineering,USB-2424,2024-01-04 18:20:00,2024-01-04 19:09:00,49,0,10.85.72.222
EMP-1001,Mark Edwards,Engineering,USB-9279,2024-01-04 12:41:00,2024-01-04 13:16:00,35,0,10.179.109.88
EMP-1094,Edward Miller,Sales,USB-5506,2024-01-04 12:05:00,2024-01-04 12:50:00,45,0,10.194.128.161
EMP-1034,Paul Torres,Sales,USB-1488,2024-01-04 10:25:00,2024-01-04 13:05:00,160,199239161,10.176.163.219
EMP-1062,Carol Baker,Finance,USB-1409,2024-01-04 10:24:00,2024-01-04 12:10:00,106,0,10.214.21.121
EMP-1054,Kimberly Long,Sales,USB-9928,2024-01-04 14:42:00,2024-01-04 17:11:00,149,142937863,10.125.161.62
EMP-1077,Margaret Patel,Executive,USB-2679,2024-01-04 09:17:00,2024-01-04 11:16:00,119,0,10.73.252.26
EMP-1058,Kathleen Smith,Research & Development,USB-2824,2024-01-04 09:19:00,2024-01-04 11:02:00,103,91577105,10.138.192.189
EMP-1021,Raymond Parker,Engineering,USB-2424,2024-01-04 14:23:00,2024-01-04 16:55:00,152,61882911,10.222.187.14
EMP-1012,Sharon Lee,Finance,USB-2824,2024-01-04 17:31:00,2024-01-04 20:18:00,167,289757089,10.196.46.130
EMP-1090,Maria Gray,Operations,USB-1434,2024-01-04 13:41:00,2024-01-04 15:19:00,98,0,10.121.133.167
EMP-1039,Donald Lee,Marketing,USB-4657,2024-01-04 10:54:00,2024-01-04 11:53:00,59,0,10.189.237.86
EMP-1011,Stephen Johnson,Engineering,USB-2679,2024-01-04 17:29:00,2024-01-04 19:03:00,94,137537401,10.197.165.88
EMP-1083,Emma Diaz,Human Resources,USB-5506,2024-01-04 10:29:00,2024-01-04 11:38:00,69,160672027,10.246.190.26
EMP-1024,Katherine Cooper,Sales,USB-9935,2024-01-05 11:18:00,2024-01-05 13:40:00,142,0,10.105.125.124
EMP-1082,Ashley Thomas,Finance,USB-9935,2024-01-05 15:02:00,2024-01-05 16:14:00,72,0,10.98.116.233
EMP-1053,Brandon Castillo,Human Resources,USB-9935,2024-01-05 10:56:00,2024-01-05 12:06:00,70,0,10.230.41.191
EMP-1097,Mark Anderson,Executive,USB-5012,2024-01-05 17:57:00,2024-01-05 19:06:00,69,378786117,10.239.184.75
EMP-1032,Thomas Hall,Finance,USB-4582,2024-01-05 18:10:00,2024-01-05 20:05:00,115,0,10.41.113.214
EMP-1062,Carol Baker,Finance,USB-1434,2024-01-05 11:58:00,2024-01-05 13:12:00,74,0,10.214.21.121
EMP-1034,Paul Torres,Sales,USB-1434,2024-01-05 17:51:00,2024-01-05 19:07:00,76,0,10.176.163.219
EMP-1076,Steven Robinson,IT Security,USB-5012,2024-01-05 15:47:00,2024-01-05 17:38:00,111,0,10.31.191.138
EMP-1005,Timothy Scott,Legal,USB-5012,2024-01-05 18:23:00,2024-01-05 20:25:00,122,0,10.95.91.54
EMP-1079,Stephen Nguyen,Marketing,USB-2535,2024-01-05 18:06:00,2024-01-05 20:01:00,115,465652669,10.224.4.147
EMP-1077,Margaret Patel,Executive,USB-4657,2024-01-05 11:52:00,2024-01-05 14:52:00,180,0,10.73.252.26
EMP-1072,Gary Ramirez,Finance,USB-7912,2024-01-05 16:39:00,2024-01-05 18:57:00,138,0,10.226.153.180
EMP-1068,David Cook,Research & Development,USB-1434,2024-01-05 18:09:00,2024-01-05 20:50:00,161,0,10.28.111.246
EMP-1006,Nicole Brooks,IT Security,USB-5012,2024-01-05 10:48:00,2024-01-05 11:16:00,28,0,10.119.98.70
EMP-1091,Nancy Howard,Engineering,USB-5506,2024-01-05 15:49:00,2024-01-05 18:07:00,138,0,10.121.90.105
EMP-1050,Patricia Garcia,Operations,USB-4257,2024-01-05 10:36:00,2024-01-05 11:46:00,70,0,10.107.227.162
EMP-1064,Donald Taylor,Sales,USB-2535,2024-01-05 14:43:00,2024-01-05 15:22:00,39,0,10.243.56.120
EMP-1073,Eric Harris,Human Resources,USB-1409,2024-01-05 08:16:00,2024-01-05 09:05:00,49,0,10.143.195.62
EMP-1076,Steven Robinson,IT Security,USB-2679,2024-01-05 18:29:00,2024-01-05 20:16:00,107,0,10.31.191.138
EMP-1007,Dennis Jimenez,Executive,USB-9928,2024-01-05 17:18:00,2024-01-05 20:11:00,173,357018373,10.103.69.17
EMP-1018,Robert Ramos,Research & Development,USB-5012,2024-01-05 10:51:00,2024-01-05 11:59:00,68,0,10.19.182.162
EMP-1044,Deborah Kelly,Sales,USB-2424,2024-01-05 13:06:00,2024-01-05 13:16:00,10,435933978,10.112.1.134
EMP-1067,Rachel Foster,Executive,USB-4811,2024-01-05 18:04:00,2024-01-05 21:00:00,176,201312336,10.201.11.89
EMP-1054,Kimberly Long,Sales,USB-5506,2024-01-05 14:40:00,2024-01-05 15:56:00,76,185143050,10.125.161.62
EMP-1012,Sharon Lee,Finance,USB-9279,2024-01-05 14:47:00,2024-01-05 15:44:00,57,259550592,10.196.46.130
EMP-1050,Patricia Garcia,Operations,USB-2824,2024-01-05 09:23:00,2024-01-05 12:23:00,180,295883055,10.107.227.162
EMP-1042,Brian Chavez,Finance,USB-1488,2024-01-05 10:53:00,2024-01-05 12:20:00,87,438345392,10.241.8.30
EMP-1045,Sharon Rodriguez,Legal,USB-4811,2024-01-05 14:23:00,2024-01-05 14:56:00,33,0,10.218.32.185
EMP-1045,Sharon Rodriguez,Legal,USB-5506,2024-01-06 17:34:00,2024-01-06 18:59:00,85,0,10.218.32.185
EMP-1081,Stephanie Morales,Engineering,USB-1434,2024-01-06 10:26:00,2024-01-06 10:58:00,32,0,10.39.208.145
EMP-1097,Mark Anderson,Executive,USB-3286,2024-01-06 17:18:00,2024-01-06 19:29:00,131,193879845,10.239.184.75
EMP-1051,Amy Phillips,Engineering,USB-1520,2024-01-06 12:20:00,2024-01-06 13:24:00,64,363342340,10.200.109.57
EMP-1068,David Cook,Research & Development,USB-4811,2024-01-06 14:11:00,2024-01-06 14:30:00,19,0,10.28.111.246
EMP-1003,Jennifer Sanders,Human Resources,USB-7873,2024-01-06 13:57:00,2024-01-06 14:10:00,13,0,10.21.142.76
EMP-1008,Margaret Wood,Research & Development,USB-2424,2024-01-06 14:10:00,2024-01-06 15:52:00,102,0,10.68.36.64
EMP-1011,Stephen Johnson,Engineering,USB-1409,2024-01-06 16:08:00,2024-01-06 17:44:00,96,0,10.197.165.88
EMP-1012,Sharon Lee,Finance,USB-5506,2024-01-06 12:34:00,2024-01-06 13:03:00,29,0,10.196.46.130
EMP-1092,Christine Wilson,Finance,USB-4811,2024-01-07 09:05:00,2024-01-07 10:00:00,55,0,10.127.74.170
EMP-1064,Donald Taylor,Sales,USB-2824,2024-01-07 16:22:00,2024-01-07 17:15:00,53,0,10.243.56.120
EMP-1092,Christine Wilson,Finance,USB-1409,2024-01-07 14:12:00,2024-01-07 15:27:00,75,256085657,10.127.74.170
EMP-1077,Margaret Patel,Executive,USB-7873,2024-01-07 08:25:00,2024-01-07 10:38:00,133,6497164,10.73.252.26
EMP-1094,Edward Miller,Sales,USB-1409,2024-01-07 13:28:00,2024-01-07 15:05:00,97,200802467,10.194.128.161
EMP-1029,Justin Kim,Marketing,USB-7912,2024-01-07 15:55:00,2024-01-07 16:58:00,63,460930409,10.169.150.145
EMP-1042,Brian Chavez,Finance,USB-7912,2024-01-07 14:15:00,2024-01-07 15:38:00,83,0,10.241.8.30
EMP-1001,Mark Edwards,Engineering,USB-3286,2024-01-07 10:23:00,2024-01-07 12:49:00,146,125483623,10.179.109.88
EMP-1031,Kenneth Long,Engineering,USB-2824,2024-01-07 10:26:00,2024-01-07 11:49:00,83,196393179,10.145.26.19
EMP-1043,Justin King,Human Resources,USB-7873,2024-01-07 14:03:00,2024-01-07 14:22:00,19,0,10.187.202.81
EMP-1090,Maria Gray,Operations,USB-1520,2024-01-07 14:28:00,2024-01-07 16:20:00,112,65381016,10.121.133.167
EMP-1020,Patrick Kelly,Operations,USB-5506,2024-01-07 16:14:00,2024-01-07 18:44:00,150,0,10.207.105.49
EMP-1044,Deborah Kelly,Sales,USB-5012,2024-01-07 18:18:00,2024-01-07 19:05:00,47,0,10.112.1.134
EMP-1081,Stephanie Morales,Engineering,USB-4811,2024-01-07 15:05:00,2024-01-07 16:19:00,74,0,10.39.208.145
EMP-1071,Ashley Long,Engineering,USB-9935,2024-01-07 15:11:00,2024-01-07 18:11:00,180,0,10.8.127.218
EMP-1003,Jennifer Sanders,Human Resources,USB-4657,2024-01-07 12:55:00,2024-01-07 13:21:00,26,457146969,10.21.142.76
EMP-1025,Linda Perez,Legal,USB-9935,2024-01-07 08:02:00,2024-01-07 10:21:00,139,386035271,10.238.201.201
EMP-1012,Sharon Lee,Finance,USB-1434,2024-01-07 13:00:00,2024-01-07 13:46:00,46,0,10.196.46.130
EMP-1054,Kimberly Long,Sales,USB-2424,2024-01-07 15:58:00,2024-01-07 17:47:00,109,0,10.125.161.62
EMP-1060,Cynthia Taylor,Operations,USB-5012,2024-01-07 18:06:00,2024-01-07 19:35:00,89,59041466,10.152.145.170
EMP-1057,Anna Reyes,Executive,USB-2424,2024-01-07 15:15:00,2024-01-07 16:40:00,85,0,10.100.232.198
EMP-1065,Lisa Cox,Legal,USB-2824,2024-01-07 10:25:00,2024-01-07 12:20:00,115,0,10.247.80.28
EMP-1065,Lisa Cox,Legal,USB-7912,2024-01-08 14:48:00,2024-01-08 16:16:00,88,0,10.247.80.28
EMP-1028,Angela Hernandez,Research & Development,USB-2424,2024-01-08 14:57:00,2024-01-08 15:04:00,7,36192553,10.221.61.104
EMP-1025,Linda Perez,Legal,USB-7873,2024-01-08 15:52:00,2024-01-08 16:43:00,51,0,10.238.201.201
EMP-1084,Kimberly James,Sales,USB-3286,2024-01-08 10:49:00,2024-01-08 12:01:00,72,424176488,10.142.20.41
EMP-1092,Christine Wilson,Finance,USB-4257,2024-01-08 10:45:00,2024-01-08 12:20:00,95,0,10.127.74.170
EMP-1045,Sharon Rodriguez,Legal,USB-1434,2024-01-08 09:47:00,2024-01-08 12:15:00,148,0,10.218.32.185
EMP-1012,Sharon Lee,Finance,USB-1520,2024-01-08 17:40:00,2024-01-08 19:49:00,129,185940067,10.196.46.130
EMP-1013,Samantha Cook,Human Resources,USB-4257,2024-01-08 17:29:00,2024-01-08 17:34:00,5,0,10.196.42.139
EMP-1077,Margaret Patel,Executive,USB-1520,2024-01-08 09:35:00,2024-01-08 11:29:00,114,0,10.73.252.26
EMP-1033,Christine Peterson,Human Resources,USB-2679,2024-01-08 16:05:00,2024-01-08 18:52:00,167,0,10.68.30.228
EMP-1080,Kathleen Cruz,Operations,USB-1520,2024-01-08 09:02:00,2024-01-08 10:08:00,66,187675466,10.241.221.123
EMP-1092,Christine Wilson,Finance,USB-9935,2024-01-08 16:13:00,2024-01-08 17:33:00,80,0,10.127.74.170
EMP-1021,Raymond Parker,Engineering,USB-7912,2024-01-08 16:20:00,2024-01-08 17:21:00,61,91988103,10.222.187.14
EMP-1093,Ryan Lopez,Human Resources,USB-7873,2024-01-08 17:26:00,2024-01-08 18:23:00,57,0,10.249.198.104
EMP-1092,Christine Wilson,Finance,USB-9935,2024-01-08 09:08:00,2024-01-08 10:05:00,57,0,10.127.74.170
EMP-1012,Sharon Lee,Finance,USB-3286,2024-01-08 17:38:00,2024-01-08 19:41:00,123,0,10.196.46.130
EMP-1042,Brian Chavez,Finance,USB-4811,2024-01-08 11:11:00,2024-01-08 14:04:00,173,363756843,10.241.8.30
EMP-1023,Nancy Scott,Human Resources,USB-7912,2024-01-08 09:48:00,2024-01-08 11:11:00,83,0,10.207.221.220
EMP-1031,Kenneth Long,Engineering,USB-4657,2024-01-08 12:04:00,2024-01-08 15:03:00,179,0,10.145.26.19
EMP-1068,David Cook,Research & Development,USB-5506,2024-01-08 16:36:00,2024-01-08 18:36:00,120,0,10.28.111.246
EMP-1045,Sharon Rodriguez,Legal,USB-2535,2024-01-08 08:55:00,2024-01-08 10:12:00,77,61516095,10.218.32.185
EMP-1001,Mark Edwards,Engineering,USB-1520,2024-01-08 16:55:00,2024-01-08 18:36:00,101,0,10.179.109.88
EMP-1081,Stephanie Morales,Engineering,USB-1409,2024-01-09 08:08:00,2024-01-09 09:10:00,62,405409186,10.39.208.145
EMP-1075,Stephen Ortiz,Legal,USB-9279,2024-01-09 08:13:00,2024-01-09 10:21:00,128,344788187,10.91.180.117
EMP-1040,Paul Lee,Operations,USB-1520,2024-01-09 08:05:00,2024-01-09 10:00:00,115,250140476,10.57.52.210
EMP-1093,Ryan Lopez,Human Resources,USB-5012,2024-01-09 17:57:00,2024-01-09 18:22:00,25,986236,10.249.198.104
EMP-1051,Amy Phillips,Engineering,USB-2424,2024-01-09 15:56:00,2024-01-09 16:34:00,38,0,10.200.109.57
EMP-1075,Stephen Ortiz,Legal,USB-2424,2024-01-09 09:02:00,2024-01-09 10:12:00,70,0,10.91.180.117
EMP-1018,Robert Ramos,Research & Development,USB-2679,2024-01-09 13:59:00,2024-01-09 15:16:00,77,0,10.19.182.162
EMP-1070,Sharon Sanders,Operations,USB-1520,2024-01-09 15:32:00,2024-01-09 18:31:00,179,125753483,10.213.240.23
EMP-1027,Catherine Green,Executive,USB-4811,2024-01-09 10:53:00,2024-01-09 13:33:00,160,0,10.236.219.136
EMP-1019,David Jones,Marketing,USB-9935,2024-01-09 13:10:00,2024-01-09 13:21:00,11,0,10.72.172.125
EMP-1026,Jason Hughes,IT Security,USB-2424,2024-01-09 14:24:00,2024-01-09 16:48:00,144,1278097,10.49.76.56
EMP-1091,Nancy Howard,Engineering,USB-2679,2024-01-09 18:56:00,2024-01-09 21:13:00,137,0,10.121.90.105
EMP-1086,Elizabeth Mendoza,IT Security,USB-3286,2024-01-09 14:13:00,2024-01-09 16:51:00,158,0,10.30.140.58
EMP-1014,Gary Williams,Sales,USB-5012,2024-01-09 16:14:00,2024-01-09 18:23:00,129,338885283,10.15.62.225
EMP-1094,Edward Miller,Sales,USB-7873,2024-01-09 11:47:00,2024-01-09 12:00:00,13,310352500,10.194.128.161
EMP-1015,Janet Morales,Legal,USB-9279,2024-01-09 18:17:00,2024-01-09 18:57:00,40,129086245,10.169.122.243
EMP-1047,Brandon Reed,Executive,USB-5506,2024-01-09 16:03:00,2024-01-09 16:14:00,11,0,10.78.74.54
EMP-1001,Mark Edwards,Engineering,USB-2824,2024-01-09 12:27:00,2024-01-09 14:26:00,119,124682715,10.179.109.88
EMP-1031,Kenneth Long,Engineering,USB-5506,2024-01-09 11:14:00,2024-01-09 11:31:00,17,0,10.145.26.19
EMP-1060,Cynthia Taylor,Operations,USB-7873,2024-01-09 16:35:00,2024-01-09 19:16:00,161,0,10.152.145.170
EMP-1024,Katherine Cooper,Sales,USB-1520,2024-01-09 16:25:00,2024-01-09 17:30:00,65,107235135,10.105.125.124
EMP-1039,Donald Lee,Marketing,USB-2424,2024-01-09 16:41:00,2024-01-09 18:14:00,93,0,10.189.237.86
EMP-1004,Alexander Rodriguez,Sales,USB-2824,2024-01-09 15:12:00,2024-01-09 15:32:00,20,0,10.253.21.219
EMP-1016,Shirley Cox,IT Security,USB-7873,2024-01-09 09:45:00,2024-01-09 12:28:00,163,498101903,10.177.52.183
EMP-1012,Sharon Lee,Finance,USB-4257,2024-01-09 09:31:00,2024-01-09 10:09:00,38,235737277,10.196.46.130
EMP-1048,Cynthia Cruz,Research & Development,USB-7912,2024-01-09 15:11:00,2024-01-09 17:51:00,160,428784573,10.122.204.231
EMP-1073,Eric Harris,Human Resources,USB-7912,2024-01-10 13:52:00,2024-01-10 14:26:00,34,471644590,10.143.195.62
EMP-1058,Kathleen Smith,Research & Development,USB-1434,2024-01-10 11:09:00,2024-01-10 11:33:00,24,0,10.138.192.189
EMP-1085,Laura Ruiz,Legal,USB-2679,2024-01-10 18:05:00,2024-01-10 19:10:00,65,499487620,10.60.74.181
EMP-1022,Stephanie Sanders,Finance,USB-4582,2024-01-10 09:02:00,2024-01-10 11:38:00,156,0,10.49.138.115
EMP-1011,Stephen Johnson,Engineering,USB-4811,2024-01-10 17:29:00,2024-01-10 18:31:00,62,443901826,10.197.165.88
EMP-1015,Janet Morales,Legal,USB-1434,2024-01-10 13:37:00,2024-01-10 16:32:00,175,117336100,10.169.122.243
EMP-1035,Steven Miller,Legal,USB-9935,2024-01-10 11:39:00,2024-01-10 13:27:00,108,0,10.12.1.86
EMP-1079,Stephen Nguyen,Marketing,USB-5012,2024-01-10 14:30:00,2024-01-10 14:46:00,16,0,10.224.4.147
EMP-1003,Jennifer Sanders,Human Resources,USB-5506,2024-01-10 16:21:00,2024-01-10 18:33:00,132,231286730,10.21.142.76
EMP-1073,Eric Harris,Human Resources,USB-9279,2024-01-10 16:30:00,2024-01-10 17:56:00,86,287994502,10.143.195.62
EMP-1089,Scott Garcia,Marketing,USB-4811,2024-01-10 15:50:00,2024-01-10 18:32:00,162,0,10.65.7.24
EMP-1053,Brandon Castillo,Human Resources,USB-7873,2024-01-10 14:05:00,2024-01-10 15:48:00,103,0,10.230.41.191
EMP-1094,Edward Miller,Sales,USB-1434,2024-01-10 15:11:00,2024-01-10 16:16:00,65,0,10.194.128.161
EMP-1006,Nicole Brooks,IT Security,USB-1434,2024-01-10 09:32:00,2024-01-10 11:54:00,142,0,10.119.98.70
EMP-1030,Anthony Bennett,Operations,USB-9928,2024-01-10 09:10:00,2024-01-10 11:13:00,123,0,10.34.172.166
EMP-1082,Ashley Thomas,Finance,USB-7912,2024-01-10 08:10:00,2024-01-10 10:05:00,115,0,10.98.116.233
EMP-1080,Kathleen Cruz,Operations,USB-2824,2024-01-10 17:28:00,2024-01-10 18:43:00,75,189799435,10.241.221.123
EMP-1001,Mark Edwards,Engineering,USB-9279,2024-01-10 10:42:00,2024-01-10 12:28:00,106,0,10.179.109.88
EMP-1034,Paul Torres,Sales,USB-7912,2024-01-10 15:11:00,2024-01-10 17:13:00,122,231547140,10.176.163.219
EMP-1041,Michelle Robinson,Engineering,USB-4582,2024-01-10 13:04:00,2024-01-10 15:50:00,166,0,10.85.72.222
EMP-1037,Melissa Howard,Executive,USB-9935,2024-01-10 18:56:00,2024-01-10 19:20:00,24,0,10.11.79.94
EMP-1024,Katherine Cooper,Sales,USB-7912,2024-01-11 11:21:00,2024-01-11 12:13:00,52,0,10.105.125.124
EMP-1086,Elizabeth Mendoza,IT Security,USB-7873,2024-01-11 18:17:00,2024-01-11 19:05:00,48,0,10.30.140.58
EMP-1022,Stephanie Sanders,Finance,USB-2679,2024-01-11 08:58:00,2024-01-11 11:53:00,175,0,10.49.138.115
EMP-1043,Justin King,Human Resources,USB-1488,2024-01-11 12:10:00,2024-01-11 14:51:00,161,0,10.187.202.81
EMP-1086,Elizabeth Mendoza,IT Security,USB-4657,2024-01-11 17:44:00,2024-01-11 18:05:00,21,126707216,10.30.140.58
EMP-1009,Justin Phillips,Marketing,USB-4582,2024-01-11 08:40:00,2024-01-11 11:17:00,157,453946611,10.127.24.194
EMP-1011,Stephen Johnson,Engineering,USB-2679,2024-01-11 08:06:00,2024-01-11 08:43:00,37,0,10.197.165.88
EMP-1023,Nancy Scott,Human Resources,USB-4582,2024-01-11 10:18:00,2024-01-11 10:23:00,5,0,10.207.221.220
EMP-1053,Brandon Castillo,Human Resources,USB-5506,2024-01-11 08:27:00,2024-01-11 10:30:00,123,0,10.230.41.191
EMP-1024,Katherine Cooper,Sales,USB-9279,2024-01-11 15:04:00,2024-01-11 15:36:00,32,207791808,10.105.125.124
EMP-1017,Christine Wood,Executive,USB-9928,2024-01-11 18:34:00,2024-01-11 19:05:00,31,469997840,10.31.64.58
EMP-1089,Scott Garcia,Marketing,USB-1434,2024-01-11 18:08:00,2024-01-11 18:33:00,25,78498862,10.65.7.24
EMP-1018,Robert Ramos,Research & Development,USB-4257,2024-01-11 10:58:00,2024-01-11 12:25:00,87,0,10.19.182.162
EMP-1043,Justin King,Human Resources,USB-1409,2024-01-11 15:24:00,2024-01-11 15:52:00,28,361998335,10.187.202.81
